STDG_SGG_CD,flood_count,total_flood_area,avg_flood_area,max_flood_area,std_flood_area,avg_flood_depth,max_flood_depth,total_duration_days,avg_duration_days,max_duration_days,first_flood_year,last_flood_year,flood_years_count,annual_flood_frequency,flood_concentration
42790,4,124974.6,31243.65,55483.5,27989.767845232298,0.844,1.273,4.0,1.0,1.0,2020.0,2020.0,1,4.0,4.0
42810,104,1890180.138,18174.809019230768,185428.078,26099.26427773697,0.4876923076923077,0.75,56.0,0.5384615384615384,1.0,2020.0,2020.0,1,104.0,104.0
42830,6,197825.1,32970.85,78864.4,28197.075930014445,0.7444999999999999,1.432,6.0,1.0,1.0,2020.0,2020.0,1,6.0,6.0
43111,1429,20809602.123,14562.35278026592,111055.419,21098.328611428216,1.1663163051084675,4.298,4101.0,2.8698390482855145,154.0,2017.0,2018.0,2,714.5,714.5
43112,225,1491416.094,6628.515973333334,38921.764,6535.089792743289,2.8131244444444445,47.536,50.0,0.2222222222222222,7.0,2016.0,2022.0,4,32.142857142857146,56.25
43113,802,10212308.493,12733.551736907732,67617.995,11968.134833929278,0.9245199501246884,42.4,752.0,0.9376558603491272,8.0,2016.0,2022.0,4,114.57142857142857,200.5
43114,747,7651685.247,10243.219875502009,183280.4,20633.692090297503,0.8364939759036144,2.2,660.0,0.8835341365461847,8.0,2016.0,2018.0,3,249.0,249.0
43130,40,3070658.308,76766.4577,482500.2,121943.84200897625,1.1512,3.052,6.0,0.15,1.0,2018.0,2022.0,3,8.0,13.333333333333334
43150,620,4592940.936,7407.969251612903,59911.6,5750.702135836218,1.075916129032258,3.834,619.0,0.9983870967741936,1.0,2019.0,2020.0,2,310.0,310.0
43720,16,696521.666,43532.604125,74341.421,22006.357833306945,0.80625,1.6,781.0,48.8125,154.0,2017.0,2017.0,1,16.0,16.0
43730,7,961012.6,137287.51428571428,296998.1,135364.20123693987,1.0707142857142857,1.699,98.0,14.0,14.0,2020.0,2020.0,1,7.0,7.0
43740,152,2245705.6,14774.378947368421,199369.2,27095.998548153577,1.8350065789473684,4.922,235.0,1.5460526315789473,8.0,2020.0,2020.0,1,152.0,152.0
43745,34,1566467.079,46072.56114705882,152797.228,48307.62705293872,0.9547941176470589,1.847,4.0,0.11764705882352941,1.0,2017.0,2020.0,3,8.5,11.333333333333334
43750,56,2061766.161,36817.252875,128164.4,34292.02840238433,1.062375,4.098,91.0,1.625,2.0,2017.0,2020.0,2,14.0,28.0
43760,240,21944090.331,91433.7097125,342103.553,107239.61778548571,1.3842791666666665,4.286,0.0,0.0,0.0,2017.0,2020.0,3,60.0,80.0
43770,25,127504.8,5100.192,13317.7,3138.15842558976,0.37132,0.508,25.0,1.0,1.0,2020.0,2020.0,1,25.0,25.0
43800,102,1296662.1,12712.373529411765,82627.2,13785.280395313372,0.9402450980392157,2.862,147.0,1.4411764705882353,93.0,2020.0,2021.0,2,51.0,51.0
44131,119,12154077.439,102135.10452941176,355814.0,110998.0216569497,0.7695210084033612,2.505,0.0,0.0,0.0,2017.0,2020.0,2,29.75,59.5
