BASE_DATE,SIGUNGU_CD,SIGUNGU_NM,SIGUNGU_FNM,AREA,PERIMETER,CODE_DC,SOILDRA
20240630,26470,연제구,부산광역시 연제구,39607800.00000000000,248093.00000000000,2,양호
20240630,26500,수영구,부산광역시 수영구,39607800.00000000000,248093.00000000000,2,양호
20240630,26530,사상구,부산광역시 사상구,7642470.00000000000,22297.60000000000,5,불량
20240630,26710,기장군,부산광역시 기장군,20375900.00000000000,245976.00000000000,1,매우양호
20240630,27110,중구,대구광역시 중구,10684900.00000000000,78767.50000000000,1,매우양호
20240630,27140,동구,대구광역시 동구,525130000.00000000000,2868170.00000000000,1,매우양호
20240630,27170,서구,대구광역시 서구,4369130.00000000000,22996.70000000000,2,양호
20240630,27230,남구,대구광역시 남구,3694070.00000000000,26128.60000000000,1,매우양호
20240630,27230,북구,대구광역시 북구,525130000.00000000000,2868170.00000000000,1,매우양호
20240630,27260,수성구,대구광역시 수성구,155852000.00000000000,781791.00000000000,1,매우양호
20240630,27290,달서구,대구광역시 달서구,7852660.00000000000,66699.70000000000,2,양호
20240630,27710,달성군,대구광역시 달성군,85431000.00000000000,371387.00000000000,1,매우양호
20240630,27720,군위군,대구광역시 군위군,429495000.00000000000,2574700.00000000000,1,매우양호
20240630,28110,중구,인천광역시 중구,10377400.00000000000,79353.70000000000,2,양호
20240630,28140,동구,인천광역시 동구,1909280.00000000000,10684.70000000000,6,매우불량
20240630,28185,연수구,인천광역시 연수구,4380000.00000000000,41362.10000000000,2,양호
20240630,28200,남동구,인천광역시 남동구,22670200.00000000000,198732.00000000000,2,양호
20240630,28237,부평구,인천광역시 부평구,38344900.00000000000,125636.00000000000,4,약간불량
20240630,28245,계양구,인천광역시 계양구,38344900.00000000000,125636.00000000000,4,약간불량
20240630,28260,서구,인천광역시 서구,41826500.00000000000,77239.80000000000,6,매우불량
20240630,28177,미추홀구,인천광역시 미추홀구,15436500.00000000000,70276.00000000000,6,매우불량
20240630,28710,강화군,인천광역시 강화군,29338500.00000000000,99227.30000000000,1,매우양호
20240630,28720,옹진군,인천광역시 옹진군,3740490.00000000000,18463.30000000000,1,매우양호
20240630,29110,동구,광주광역시 동구,209252000.00000000000,1218240.00000000000,1,매우양호
20240630,29140,서구,광주광역시 서구,9310310.00000000000,81529.00000000000,4,약간불량
20240630,29170,남구,광주광역시 남구,209252000.00000000000,1218240.00000000000,1,매우양호
20240630,29170,북구,광주광역시 북구,209252000.00000000000,1218240.00000000000,1,매우양호
20240630,29200,광산구,광주광역시 광산구,16863200.00000000000,136768.00000000000,1,매우양호
20240630,30110,동구,대전광역시 동구,64117500.00000000000,464156.00000000000,1,매우양호
20240630,30140,중구,대전광역시 중구,10767300.00000000000,77591.00000000000,1,매우양호
20240630,30170,서구,대전광역시 서구,32131300.00000000000,205772.00000000000,1,매우양호
20240630,30200,유성구,대전광역시 유성구,36770700.00000000000,223005.00000000000,1,매우양호
20240630,30230,대덕구,대전광역시 대덕구,8763810.00000000000,61622.30000000000,2,양호
20240630,31110,중구,울산광역시 중구,34432700.00000000000,288429.00000000000,1,매우양호
20240630,31200,남구,울산광역시 남구,12266500.00000000000,123335.00000000000,1,매우양호
