FLOOD_YEAR,DAM_RAIN,DEAD,SIGUNGU,FLOOD_GRD
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,4.0
2021,,,48270,4.0
2021,,,48270,5.0
2021,,,48270,4.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,4.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,5.0
2021,100.0,1.0,51810,
2022,,,47820,
2024,,,48880,
2023,,,46730,
2023,134.0,,46800,
2024,,,31200,
2024,158.0,,52710,
2019,150.0,,44210,
2021,,,48310,1.0
2021,,,48310,2.0
2021,,,48310,1.0
2021,,,48310,3.0
2021,,,48310,2.0
2021,,,48310,3.0
2021,,,48310,1.0
2021,,,48310,3.0
2021,,,48310,2.0
2021,,,48310,3.0
2021,,,48310,2.0
2022,250.0,,47210,
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,4.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,5.0
2021,,,48270,4.0
2021,,,48270,3.0
2021,,,48270,4.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,4.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,6.0
2021,,,48270,5.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,4.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,6.0
2021,,,48270,4.0
2021,,,48270,4.0
2021,,,48270,2.0
2021,,,48270,4.0
2021,,,48270,2.0
2021,,,48270,5.0
2021,,,48270,4.0
2021,,,48270,3.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,3.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
2021,,,48270,2.0
