SIGUNGU,FLOOD_YEAR,FLOOD_MONTH,FLOOD_AREA
43111,2017,7,1227.393
43111,2017,7,4015.099
43111,2017,7,9556.692
43111,2017,7,315.138
43111,2017,7,10249.149
43111,2017,7,1359.821
43111,2017,7,1268.227
43111,2017,7,2044.284
43111,2017,7,829.509
43111,2017,7,563.52
43111,2017,7,940.346
43111,2017,7,119.329
43111,2017,7,6708.975
43111,2017,7,4502.769
43111,2017,7,4673.107
43111,2017,7,54.94
43111,2017,7,2550.513
43111,2017,7,3975.836
50110,2016,10,1735.018
50110,2016,10,1834.208
50110,2016,10,2405.592
50110,2016,10,3009.993
50110,2016,10,3611.619
50110,2016,10,1492.716
50110,2016,10,1636.97
50110,2016,10,1938.929
50110,2016,10,4477.107
41220,2017,7,73617.11
41390,2017,7,5969.0
41390,2017,7,5054.0
41390,2017,7,4658.215
43111,2017,7,483.324
43111,2017,7,369.009
43111,2017,7,3152.908
43111,2017,7,5079.9
43111,2017,7,2544.513
43111,2017,7,3696.179
43111,2017,7,6949.531
43111,2017,7,7785.587
43111,2017,7,2365.065
43111,2017,7,4984.572
43111,2017,7,6509.702
43111,2017,7,12395.428
43111,2017,7,6295.05
43111,2017,7,5683.032
43111,2017,7,2241.252
43111,2017,7,2528.038
43111,2017,7,6731.87
43111,2017,7,6756.182
43111,2017,7,5215.083
43111,2017,7,7788.835
43111,2017,7,4098.087
43111,2017,7,3705.97
43111,2017,7,3145.154
43111,2017,7,3385.141
43111,2017,7,1622.681
43111,2017,7,1674.815
43111,2017,7,1583.549
43111,2017,7,3139.059
43111,2017,7,831.154
43111,2017,7,19122.285
43111,2017,7,9574.685
43111,2017,7,2378.955
43111,2017,7,2137.949
43111,2017,7,3127.068
43111,2017,7,4504.371
43111,2017,7,1918.579
43111,2017,7,8829.966
43111,2017,7,1757.951
43111,2017,7,2620.839
43111,2017,7,876.132
43111,2017,7,1534.797
43111,2017,7,4349.726
43111,2017,7,2381.725
43111,2017,7,7524.418
43111,2017,7,1399.834
31710,2016,10,31862.4
43111,2017,7,1323.005
43111,2017,7,22186.592
43111,2017,7,2964.112
43111,2017,7,6282.032
43111,2017,7,7934.165
43111,2017,7,3111.592
43111,2017,7,2381.815
43111,2017,7,2253.13
43111,2017,7,4139.549
43111,2017,7,2646.788
43111,2017,7,1290.706
43111,2017,7,2358.779
43111,2017,7,2560.998
43111,2017,7,3217.213
43111,2017,7,8749.257
43111,2017,7,2964.127
43111,2017,7,4141.639
43111,2017,7,1258.699
43111,2017,7,3272.172
43111,2017,7,1511.201
43111,2017,7,2750.692
31710,2016,10,263247.06
31710,2016,10,118616.58
31710,2016,10,44192.53
41480,2020,8,14407.0
48121,2016,10,162182.45
48121,2016,10,82138.94
50110,2016,10,2112.253
50110,2016,10,813.729
50110,2016,10,523.572
50110,2016,10,921.499
48123,2016,10,270708.38
48129,2016,10,11233.276
50110,2016,10,3518.985
50110,2016,10,2691.522
50110,2016,10,1902.748
50110,2016,10,3186.14
50110,2016,10,2409.733
50110,2016,10,344.069
50110,2016,10,6889.734
50110,2016,10,2645.456
50110,2016,10,3611.998
50110,2016,10,1761.841
50110,2016,10,1917.736
26140,2016,10,172953.3
31140,2016,10,159035.08
31140,2016,10,110241.05
31710,2016,10,49892.5
48129,2016,10,177818.67
46730,2020,8,474661.1
50110,2016,10,5130.461
50110,2016,10,1358.343
50110,2016,10,2582.432
50110,2016,10,1612.527
50110,2016,10,5089.496
50110,2016,10,4469.197
50110,2016,10,5257.93
50110,2016,10,3022.479
50110,2016,10,14194.784
50110,2016,10,814.822
50110,2016,10,8758.073
50110,2016,10,1357.217
50110,2016,10,1929.721
50110,2016,10,1646.135
48220,2016,10,44985.66
48220,2016,9,19736.8
50110,2016,10,3557.264
50110,2016,10,1325.831
50110,2016,10,2609.501
